Vehicle_Model,Engine_Displacement_L,Engine_Cylinders,Transmission_Type,Drive,Fuel,Cert_Region,Veh_Class,Air_Pollution_Score,City_Mpg,Hwy_Mpg,Combined_Mpg,Greenhouse_Gas_Score,Smartway,Combined_Co2
BMW 330i,2.0,4,SemiAuto-8,4WD,Gasoline,CA,small car,7.0,23,33,27,6,No,333
BMW 330i,2.0,4,SemiAuto-8,4WD,Gasoline,FA,small car,7.0,23,33,27,6,No,333
BMW 330i Gran Turismo,2.0,4,SemiAuto-8,4WD,Gasoline,CA,large car,7.0,23,33,27,6,No,333
BMW 330i Gran Turismo,2.0,4,SemiAuto-8,4WD,Gasoline,FA,large car,7.0,23,33,27,6,No,333
BMW 330i Sports Wagon,2.0,4,SemiAuto-8,4WD,Gasoline,CA,station wagon,7.0,23,33,27,6,No,333
BMW 330i Sports Wagon,2.0,4,SemiAuto-8,4WD,Gasoline,FA,station wagon,7.0,23,33,27,6,No,333
BMW 340i,3.0,6,Man-6,2WD,Gasoline,CA,small car,3.0,19,29,23,5,No,389
BMW 340i,3.0,6,Man-6,2WD,Gasoline,FA,small car,3.0,19,29,23,5,No,389
BMW 340i,3.0,6,Man-6,4WD,Gasoline,CA,small car,3.0,19,29,23,5,No,390
BMW 340i,3.0,6,Man-6,4WD,Gasoline,FA,small car,3.0,19,29,23,5,No,390
BMW 340i,3.0,6,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,21,32,25,5,No,352
BMW 340i,3.0,6,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,21,32,25,5,No,352
BMW 340i,3.0,6,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,21,31,25,5,No,357
BMW 340i,3.0,6,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,21,31,25,5,No,357
BMW 340i Gran Turismo,3.0,6,SemiAuto-8,4WD,Gasoline,CA,large car,3.0,20,29,23,5,No,382
BMW 340i Gran Turismo,3.0,6,SemiAuto-8,4WD,Gasoline,FA,large car,3.0,20,29,23,5,No,382
BMW 430i Convertible,2.0,4,SemiAuto-8,2WD,Gasoline,CA,small car,7.0,24,34,27,6,No,324
BMW 430i Convertible,2.0,4,SemiAuto-8,2WD,Gasoline,FA,small car,7.0,24,34,27,6,No,324
BMW 430i Convertible,2.0,4,SemiAuto-8,4WD,Gasoline,CA,small car,7.0,22,32,26,5,No,343
BMW 430i Convertible,2.0,4,SemiAuto-8,4WD,Gasoline,FA,small car,7.0,22,32,26,5,No,343
BMW 430i Coupe,2.0,4,Man-6,2WD,Gasoline,CA,small car,7.0,21,33,25,5,No,351
BMW 430i Coupe,2.0,4,Man-6,2WD,Gasoline,FA,small car,7.0,21,33,25,5,No,351
BMW 430i Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,CA,small car,7.0,24,34,27,6,No,324
BMW 430i Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,FA,small car,7.0,24,34,27,6,No,324
BMW 430i Coupe,2.0,4,SemiAuto-8,4WD,Gasoline,CA,small car,7.0,23,33,27,6,No,333
BMW 430i Coupe,2.0,4,SemiAuto-8,4WD,Gasoline,FA,small car,7.0,23,33,27,6,No,333
BMW 430i Gran Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,CA,small car,7.0,24,34,27,6,No,324
BMW 430i Gran Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,FA,small car,7.0,24,34,27,6,No,324
BMW 430i Gran Coupe,2.0,4,SemiAuto-8,4WD,Gasoline,CA,small car,7.0,23,33,27,6,No,333
BMW 430i Gran Coupe,2.0,4,SemiAuto-8,4WD,Gasoline,FA,small car,7.0,23,33,27,6,No,333
BMW 440i Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,21,29,24,5,No,372
BMW 440i Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,21,29,24,5,No,372
BMW 440i Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,20,29,23,5,No,382
BMW 440i Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,20,29,23,5,No,382
BMW 440i Coupe,3.0,6,Man-6,2WD,Gasoline,CA,small car,3.0,19,29,23,5,No,389
BMW 440i Coupe,3.0,6,Man-6,2WD,Gasoline,FA,small car,3.0,19,29,23,5,No,389
BMW 440i Coupe,3.0,6,Man-6,4WD,Gasoline,CA,small car,3.0,19,29,23,5,No,390
BMW 440i Coupe,3.0,6,Man-6,4WD,Gasoline,FA,small car,3.0,19,29,23,5,No,390
BMW 440i Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,21,32,25,5,No,352
BMW 440i Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,21,32,25,5,No,352
BMW 440i Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,21,31,25,5,No,357
BMW 440i Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,21,31,25,5,No,357
BMW 440i Gran Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,21,32,25,5,No,352
